Row,Analysis,Identifier 1,Identifier 2,Peak Nr  Flash TCD,Rt Flash TCD,Detector Name Flash TCD,rArea Flash TCD,Amt% Flash TCD,,
67,33571,Sirot_Box 1,E10,1,135.1,Flash TCD,25192,0,,
67,33571,Sirot_Box 1,E10,2,233.1,Flash TCD,340347,0,,
67,33571,Sirot_Box 1,E10,,,,,,,
68,33572,Sirot_Box 1,E11,1,135.1,Flash TCD,27264,0,,
68,33572,Sirot_Box 1,E11,2,232.1,Flash TCD,377455,0,,
68,33572,Sirot_Box 1,E11,,,,,,,
69,33573,Sirot_Box 1,E12,1,135.1,Flash TCD,17540,0,,
69,33573,Sirot_Box 1,E12,2,233.1,Flash TCD,255180,0,,
69,33573,Sirot_Box 1,E12,,,,,,,
70,33574,Sucrose,,1,135.1,Flash TCD,19925,0,,
70,33574,Sucrose,,2,233.1,Flash TCD,284359,0,,
70,33574,Sucrose,,,,,,,,
71,33575,Sirot_Box 1,F1,1,233.1,Flash TCD,187524,0,,
71,33575,Sirot_Box 1,F1,,,,,,,
72,33576,Sirot_Box 1,F2,1,135.1,Flash TCD,63807,0,,
72,33576,Sirot_Box 1,F2,2,232.1,Flash TCD,508640,0,,
72,33576,Sirot_Box 1,F2,,,,,,,
73,33577,Sirot_Box 1,F3,1,135.1,Flash TCD,23477,0,,
73,33577,Sirot_Box 1,F3,2,233.1,Flash TCD,195071,0,,
73,33577,Sirot_Box 1,F3,,,,,,,
74,33578,Sirot_Box 1,F4,1,135.1,Flash TCD,26579,0,,
74,33578,Sirot_Box 1,F4,2,232.1,Flash TCD,364633,0,,
74,33578,Sirot_Box 1,F4,,,,,,,
75,33579,Sirot_Box 1,F5,1,135.1,Flash TCD,21263,0,,
75,33579,Sirot_Box 1,F5,2,233.1,Flash TCD,305862,0,,
75,33579,Sirot_Box 1,F5,,,,,,,
76,33580,Sirot_Box 1,F6,1,135.1,Flash TCD,25478,0,,
76,33580,Sirot_Box 1,F6,2,233.1,Flash TCD,350727,0,,
76,33580,Sirot_Box 1,F6,,,,,,,
77,33581,Sirot_Box 1,F7,1,135.1,Flash TCD,21084,0,,
77,33581,Sirot_Box 1,F7,2,233.1,Flash TCD,304880,0,,
77,33581,Sirot_Box 1,F7,,,,,,,
78,33582,Sirot_Box 1,F8,1,135.1,Flash TCD,25222,0,,
78,33582,Sirot_Box 1,F8,2,233.1,Flash TCD,338993,0,,
78,33582,Sirot_Box 1,F8,,,,,,,
79,33583,Sucrose,,1,135.1,Flash TCD,25262,0,,
79,33583,Sucrose,,2,231.1,Flash TCD,662936,0,,
79,33583,Sucrose,,,,,,,,
80,33584,USG 40,,1,232.1,Flash TCD,420044,0,,
80,33584,USG 40,,,,,,,,
81,33585,N2,,1,135.1,Flash TCD,86024,0,,
81,33585,N2,,2,230.1,Flash TCD,1067268,0,,
81,33585,N2,,,,,,,,
82,33586,System blank,,1,134.1,Flash TCD,147931,0,,
82,33586,System blank,,2,236.1,Flash TCD,2332,0,,
82,33586,System blank,,,,,,,,
83,33587,System blank,,,,,,,,
83,33587,System blank,,,,,,,,
